number of rooms,number of bathrooms,area,floor,age,Price
3,3,165.0,Ground Floor,0 - 1,125000
3,2,120.0,Ground Floor,6 - 9,45000
2,2,100.0,Third Floor,6 - 9,38000
3,3,165.0,Ground Floor,0 - 1,83000
3,3,56.0,Ground Floor,1 - 5,79000
1,2,58.0,First Floor,6 - 9,39000
1,1,58.0,First Floor,1 - 5,45000
2,1,60.0,Basement,6 - 9,25000
2,1,60.0,Third Floor,10 - 19,35000
2,1,60.0,Third Floor,10 - 19,35000
2,1,60.0,Third Floor,6 - 9,45000
1,1,61.0,Ground Floor,1 - 5,45000
2,1,62.0,Basement,1 - 5,25000
2,1,62.0,Basement,6 - 9,25000
2,1,62.0,Basement,1 - 5,25000
1,1,70.0,First Floor,6 - 9,65000
1,2,70.0,Second Floor,6 - 9,47000
1,1,71.0,Basement,1 - 5,29500
1,1,73.0,Third Floor,6 - 9,57000
2,2,74.0,Fourth Floor,6 - 9,36000
2,1,75.0,Third Floor,10 - 19,29000
2,2,75.0,First Floor,10 - 19,37000
1,2,75.0,Third Floor,1 - 5,57000
1,2,75.0,First Floor,1 - 5,57000
1,2,77.0,First Floor,6 - 9,55000
2,2,78.0,Second Floor,6 - 9,35000
1,2,78.0,Third Floor,6 - 9,56000
2,1,78.0,First Floor,6 - 9,60000
2,2,79.0,First Floor,6 - 9,39000
2,2,80.0,Second Floor,1 - 5,37000
2,2,80.0,Second Floor,1 - 5,37000
2,2,80.0,Third Floor,6 - 9,29000
2,2,80.0,First Floor,10 - 19,32000
2,2,80.0,Second Floor,10 - 19,33000
2,2,80.0,Basement,6 - 9,35000
2,2,80.0,Ground Floor,6 - 9,42000
2,2,80.0,Ground Floor,1 - 5,45000
2,2,80.0,First Floor,1 - 5,45000
2,2,80.0,First Floor,6 - 9,49000
2,2,80.0,Ground Floor,6 - 9,58000
1,1,80.0,Ground Floor,6 - 9,59000
2,2,81.0,Second Floor,6 - 9,29500
2,2,81.0,First Floor,6 - 9,35000
1,1,82.0,Third Floor,6 - 9,61000
1,2,82.0,Basement,6 - 9,50000
1,1,83.0,First Floor,1 - 5,60000
2,2,83.0,Second Floor,0 - 1,80000
1,1,84.0,Second Floor,6 - 9,55000
2,2,85.0,Ground Floor,0 - 1,43000
1,1,85.0,Ground Floor,10 - 19,50000
2,2,85.0,Second Floor,6 - 9,29500
2,2,85.0,Third Floor,6 - 9,36000
2,2,85.0,Third Floor,10 - 19,40000
2,2,85.0,Ground Floor,6 - 9,47000
2,2,85.0,Ground Floor,1 - 5,49000
1,1,85.0,First Floor,1 - 5,50000
2,2,85.0,Ground Floor,1 - 5,58000
2,2,87.0,Third Floor,6 - 9,38500
2,2,88.0,Basement,6 - 9,36000
2,1,88.0,First Floor,10 - 19,32000
1,2,90.0,Ground Floor,6 - 9,50000
1,2,90.0,Ground Floor,6 - 9,50000
1,3,90.0,Third Floor,6 - 9,65000
2,2,90.0,Third Floor,6 - 9,35000
1,1,90.0,Basement,6 - 9,23500
2,2,90.0,Second Floor,6 - 9,37000
1,1,90.0,Ground Floor,6 - 9,56500
1,1,90.0,Ground Floor,6 - 9,35000
2,2,90.0,First Floor,10 - 19,40000
2,2,90.0,Ground Floor,1 - 5,29000
2,2,90.0,Basement,6 - 9,36000
2,2,90.0,Second Floor,6 - 9,36000
2,2,90.0,Third Floor,10 - 19,37000
2,2,90.0,Third Floor,6 - 9,37000
2,2,90.0,First Floor,6 - 9,38000
2,2,90.0,Ground Floor,10 - 19,38000
1,2,90.0,Second Floor,6 - 9,47000
2,2,90.0,Second Floor,6 - 9,38000
2,2,90.0,Ground Floor,6 - 9,40000
3,2,90.0,Second Floor,6 - 9,42000
2,2,90.0,Ground Floor,0 - 1,43000
2,2,90.0,Ground Floor,0 - 1,43000
2,2,90.0,Ground Floor,0 - 1,43000
2,2,90.0,Ground Floor,0 - 1,43000
